lead_id,owner,source,created_at,appt_set,appt_show,qualified,proposal,closed_won,deal_size,cycle_days,tasks_overdue
120,Matt,Retail,2025-03-20 01:00:00,1,1,1,1,0,0.0,15,1
121,Jordan,Outbound,2025-02-26 02:00:00,1,1,0,0,0,0.0,4,0
122,Sam,Inbound,2025-03-31 21:00:00,1,1,0,0,0,0.0,10,0
123,Sam,Events,2025-02-12 10:00:00,1,1,0,0,0,0.0,9,2
124,Jordan,Inbound,2025-02-25 05:00:00,1,1,1,1,0,0.0,14,0
125,Taylor,Events,2025-02-09 16:00:00,1,1,0,0,0,0.0,8,0
126,Jordan,Retail,2025-03-22 01:00:00,1,1,1,1,0,0.0,2,0
127,Matt,Outbound,2025-03-16 21:00:00,1,1,1,1,0,0.0,14,4
128,Sam,Retail,2025-03-23 18:00:00,1,1,1,1,0,0.0,21,1
129,Jordan,Inbound,2025-02-15 09:00:00,1,1,0,0,0,0.0,15,0
130,Sam,Outbound,2025-03-13 05:00:00,1,0,0,0,0,0.0,10,1
131,Jordan,Referral,2025-02-02 06:00:00,1,1,0,0,0,0.0,13,3
132,Jordan,Outbound,2025-02-11 11:00:00,0,0,0,0,0,0.0,5,0
133,Matt,Retail,2025-03-10 10:00:00,0,0,0,0,0,0.0,7,0
134,Jordan,Retail,2025-01-08 07:00:00,0,0,0,0,0,0.0,12,1
135,Sam,Retail,2025-03-05 22:00:00,1,1,1,0,0,0.0,15,1
136,Alex,Retail,2025-01-02 10:00:00,1,1,1,1,0,0.0,13,0
137,Sam,Outbound,2025-02-22 06:00:00,1,0,0,0,0,0.0,24,0
138,Matt,Outbound,2025-02-12 22:00:00,0,0,0,0,0,0.0,16,1
139,Alex,Outbound,2025-02-12 04:00:00,0,0,0,0,0,0.0,2,1
140,Jordan,Referral,2025-02-14 11:00:00,0,0,0,0,0,0.0,14,0
141,Taylor,Outbound,2025-02-14 06:00:00,0,0,0,0,0,0.0,15,0
142,Alex,Outbound,2025-02-06 15:00:00,1,1,1,1,0,0.0,3,0
143,Alex,Retail,2025-02-10 14:00:00,0,0,0,0,0,0.0,10,0
144,Jordan,Retail,2025-02-21 03:00:00,0,0,0,0,0,0.0,22,1
145,Taylor,Inbound,2025-03-10 17:00:00,1,0,0,0,0,0.0,10,0
146,Taylor,Referral,2025-02-19 16:00:00,0,0,0,0,0,0.0,12,1
147,Matt,Retail,2025-02-27 19:00:00,1,1,1,0,0,0.0,7,0
148,Alex,Inbound,2025-03-17 07:00:00,0,0,0,0,0,0.0,3,0
149,Taylor,Outbound,2025-03-31 01:00:00,0,0,0,0,0,0.0,9,1
150,Matt,Retail,2025-01-10 18:00:00,1,1,1,1,1,4004.0,39,1
151,Taylor,Retail,2025-03-06 03:00:00,0,0,0,0,0,0.0,24,0
152,Alex,Referral,2025-01-21 06:00:00,1,1,1,1,1,5272.0,9,1
153,Taylor,Outbound,2025-01-18 17:00:00,0,0,0,0,0,0.0,21,0
154,Alex,Retail,2025-03-13 08:00:00,0,0,0,0,0,0.0,16,1
155,Jordan,Referral,2025-01-07 04:00:00,0,0,0,0,0,0.0,17,2
156,Sam,Retail,2025-03-18 07:00:00,0,0,0,0,0,0.0,11,1
157,Matt,Referral,2025-03-11 08:00:00,1,1,0,0,0,0.0,3,3
158,Jordan,Retail,2025-03-31 12:00:00,1,1,1,1,0,0.0,11,2
159,Jordan,Inbound,2025-03-02 02:00:00,1,0,0,0,0,0.0,21,1
160,Sam,Retail,2025-03-20 13:00:00,1,1,1,1,1,2499.0,14,1
161,Taylor,Retail,2025-01-11 16:00:00,1,0,0,0,0,0.0,19,0
162,Sam,Referral,2025-03-22 02:00:00,1,0,0,0,0,0.0,3,3
163,Jordan,Retail,2025-01-15 10:00:00,1,1,0,0,0,0.0,6,0
164,Jordan,Retail,2025-01-29 06:00:00,1,1,1,1,0,0.0,8,0
165,Jordan,Retail,2025-01-12 12:00:00,0,0,0,0,0,0.0,10,0
166,Taylor,Outbound,2025-02-06 03:00:00,1,1,1,0,0,0.0,24,1
167,Alex,Outbound,2025-03-09 09:00:00,0,0,0,0,0,0.0,12,0
168,Matt,Events,2025-01-25 03:00:00,1,1,1,0,0,0.0,17,0
169,Alex,Retail,2025-03-15 23:00:00,1,1,1,1,0,0.0,16,0
170,Matt,Retail,2025-02-24 13:00:00,1,1,1,1,1,3221.0,7,2
171,Matt,Retail,2025-02-26 14:00:00,1,0,0,0,0,0.0,24,0
172,Matt,Inbound,2025-03-26 11:00:00,1,1,0,0,0,0.0,7,0
173,Sam,Events,2025-02-08 20:00:00,1,1,0,0,0,0.0,2,0
174,Sam,Outbound,2025-02-01 00:00:00,1,0,0,0,0,0.0,19,2
175,Sam,Inbound,2025-03-31 12:00:00,1,1,0,0,0,0.0,17,1
176,Jordan,Retail,2025-02-20 03:00:00,0,0,0,0,0,0.0,7,0
177,Sam,Referral,2025-02-25 07:00:00,1,0,0,0,0,0.0,21,1
178,Matt,Inbound,2025-01-27 16:00:00,0,0,0,0,0,0.0,5,0
179,Taylor,Retail,2025-01-20 09:00:00,1,1,1,1,0,0.0,7,2
180,Jordan,Retail,2025-01-16 06:00:00,0,0,0,0,0,0.0,5,1
181,Taylor,Retail,2025-01-21 02:00:00,0,0,0,0,0,0.0,6,1
182,Matt,Retail,2025-01-18 13:00:00,0,0,0,0,0,0.0,18,1
183,Jordan,Retail,2025-03-09 04:00:00,0,0,0,0,0,0.0,18,2
184,Sam,Inbound,2025-01-06 05:00:00,1,1,1,0,0,0.0,16,1
185,Jordan,Inbound,2025-02-26 15:00:00,1,1,0,0,0,0.0,21,1
186,Jordan,Retail,2025-03-27 10:00:00,1,1,0,0,0,0.0,3,0
187,Matt,Retail,2025-03-10 21:00:00,0,0,0,0,0,0.0,16,1
188,Alex,Events,2025-02-06 06:00:00,0,0,0,0,0,0.0,4,0
189,Alex,Outbound,2025-01-06 08:00:00,1,1,1,0,0,0.0,23,0
190,Alex,Inbound,2025-03-17 01:00:00,0,0,0,0,0,0.0,16,0
191,Sam,Retail,2025-01-01 06:00:00,1,1,1,1,1,3939.0,15,0
192,Sam,Referral,2025-03-03 07:00:00,0,0,0,0,0,0.0,15,1
193,Sam,Retail,2025-03-02 09:00:00,0,0,0,0,0,0.0,10,0
194,Alex,Retail,2025-01-18 06:00:00,1,1,0,0,0,0.0,17,0
195,Taylor,Referral,2025-03-08 14:00:00,0,0,0,0,0,0.0,21,1
196,Matt,Inbound,2025-01-16 18:00:00,0,0,0,0,0,0.0,6,1
197,Alex,Outbound,2025-01-21 07:00:00,1,1,1,1,1,4191.0,19,0
198,Matt,Inbound,2025-03-15 01:00:00,1,1,0,0,0,0.0,18,1
199,Alex,Outbound,2025-03-30 02:00:00,1,1,1,0,0,0.0,3,0
200,Taylor,Retail,2025-01-24 19:00:00,0,0,0,0,0,0.0,23,0
201,Alex,Retail,2025-03-24 22:00:00,1,1,1,1,0,0.0,6,1
202,Taylor,Retail,2025-03-24 04:00:00,0,0,0,0,0,0.0,15,1
203,Jordan,Retail,2025-03-11 05:00:00,0,0,0,0,0,0.0,4,0
204,Sam,Referral,2025-01-13 14:00:00,1,1,1,1,0,0.0,6,2
205,Jordan,Retail,2025-01-27 22:00:00,1,0,0,0,0,0.0,16,1
206,Alex,Inbound,2025-03-02 23:00:00,0,0,0,0,0,0.0,17,0
207,Sam,Outbound,2025-03-31 22:00:00,0,0,0,0,0,0.0,17,1
208,Taylor,Outbound,2025-03-15 07:00:00,1,1,1,0,0,0.0,9,0
209,Alex,Retail,2025-02-07 19:00:00,1,1,1,1,0,0.0,20,2
210,Sam,Inbound,2025-01-22 04:00:00,1,1,1,1,1,4001.0,20,0
211,Alex,Events,2025-03-28 10:00:00,0,0,0,0,0,0.0,21,0
212,Sam,Outbound,2025-01-25 20:00:00,1,1,1,1,1,4488.0,22,0
213,Sam,Outbound,2025-01-31 19:00:00,0,0,0,0,0,0.0,16,1
214,Jordan,Referral,2025-03-28 19:00:00,1,1,1,0,0,0.0,22,1
215,Sam,Outbound,2025-02-20 13:00:00,0,0,0,0,0,0.0,7,2
216,Alex,Retail,2025-01-24 19:00:00,1,1,1,1,0,0.0,11,2
217,Matt,Inbound,2025-01-01 11:00:00,1,1,1,1,0,0.0,21,2
218,Matt,Retail,2025-02-08 16:00:00,0,0,0,0,0,0.0,21,0
219,Jordan,Outbound,2025-03-30 17:00:00,0,0,0,0,0,0.0,7,1
220,Taylor,Events,2025-02-08 22:00:00,1,1,1,1,0,0.0,13,0
221,Matt,Inbound,2025-03-04 22:00:00,1,1,1,1,0,0.0,9,0
222,Jordan,Retail,2025-01-23 18:00:00,1,0,0,0,0,0.0,13,0
223,Sam,Retail,2025-03-11 19:00:00,1,1,1,1,0,0.0,10,0
224,Alex,Events,2025-03-11 19:00:00,1,1,1,1,0,0.0,2,0
225,Sam,Retail,2025-02-24 17:00:00,0,0,0,0,0,0.0,23,1
226,Alex,Retail,2025-03-11 11:00:00,1,0,0,0,0,0.0,16,0
227,Taylor,Retail,2025-02-22 02:00:00,0,0,0,0,0,0.0,12,2
228,Jordan,Retail,2025-02-04 01:00:00,1,1,1,1,0,0.0,4,0
229,Jordan,Inbound,2025-03-08 09:00:00,1,1,1,1,0,0.0,3,1
230,Matt,Inbound,2025-03-17 03:00:00,0,0,0,0,0,0.0,13,1
231,Jordan,Retail,2025-03-17 16:00:00,1,1,0,0,0,0.0,16,1
232,Taylor,Retail,2025-01-20 04:00:00,0,0,0,0,0,0.0,7,1
233,Matt,Retail,2025-03-02 21:00:00,1,1,0,0,0,0.0,19,1
234,Sam,Retail,2025-01-01 09:00:00,0,0,0,0,0,0.0,11,1
235,Jordan,Retail,2025-02-21 11:00:00,0,0,0,0,0,0.0,2,0
236,Sam,Outbound,2025-02-21 09:00:00,0,0,0,0,0,0.0,14,0
237,Sam,Retail,2025-02-02 17:00:00,1,0,0,0,0,0.0,6,1
238,Jordan,Retail,2025-03-31 11:00:00,1,1,0,0,0,0.0,2,0
239,Alex,Retail,2025-03-21 11:00:00,1,1,1,1,1,3895.0,13,0
240,Sam,Retail,2025-01-04 11:00:00,1,1,1,1,0,0.0,8,1
241,Matt,Retail,2025-01-19 19:00:00,1,0,0,0,0,0.0,13,0
242,Jordan,Retail,2025-01-19 17:00:00,1,1,0,0,0,0.0,24,0
243,Matt,Referral,2025-03-22 18:00:00,1,0,0,0,0,0.0,7,0
244,Sam,Retail,2025-02-16 16:00:00,1,1,1,1,1,3701.0,17,2
245,Sam,Inbound,2025-03-07 14:00:00,1,1,0,0,0,0.0,6,0
246,Matt,Inbound,2025-03-14 21:00:00,1,1,1,0,0,0.0,9,1
247,Sam,Retail,2025-03-11 02:00:00,1,1,0,0,0,0.0,6,1
248,Jordan,Retail,2025-01-09 00:00:00,0,0,0,0,0,0.0,9,0
249,Sam,Outbound,2025-01-13 15:00:00,1,0,0,0,0,0.0,24,1
250,Matt,Referral,2025-02-05 13:00:00,1,1,0,0,0,0.0,10,1
251,Matt,Retail,2025-01-31 10:00:00,1,0,0,0,0,0.0,16,0
252,Jordan,Retail,2025-03-09 05:00:00,0,0,0,0,0,0.0,17,0
253,Matt,Retail,2025-01-15 01:00:00,1,1,1,1,0,0.0,4,2
254,Alex,Inbound,2025-02-03 10:00:00,0,0,0,0,0,0.0,7,0
255,Sam,Outbound,2025-01-22 07:00:00,0,0,0,0,0,0.0,11,1
256,Matt,Retail,2025-01-17 23:00:00,1,0,0,0,0,0.0,12,1
257,Sam,Retail,2025-01-16 13:00:00,0,0,0,0,0,0.0,2,0
258,Matt,Referral,2025-01-18 14:00:00,0,0,0,0,0,0.0,16,1
259,Matt,Retail,2025-02-20 19:00:00,1,1,0,0,0,0.0,8,0
260,Jordan,Inbound,2025-02-06 21:00:00,1,1,1,1,0,0.0,9,1
261,Sam,Outbound,2025-02-09 04:00:00,0,0,0,0,0,0.0,15,1
262,Matt,Retail,2025-02-13 03:00:00,0,0,0,0,0,0.0,23,1
263,Alex,Retail,2025-03-08 16:00:00,1,1,1,1,0,0.0,21,0
264,Taylor,Retail,2025-03-19 13:00:00,1,1,0,0,0,0.0,24,0
265,Taylor,Referral,2025-02-17 09:00:00,0,0,0,0,0,0.0,11,0
266,Jordan,Retail,2025-02-27 19:00:00,1,1,1,1,1,4249.0,40,0
267,Jordan,Retail,2025-03-08 11:00:00,0,0,0,0,0,0.0,6,1
268,Alex,Retail,2025-03-04 03:00:00,1,1,0,0,0,0.0,9,1
269,Sam,Retail,2025-01-13 02:00:00,0,0,0,0,0,0.0,8,0
270,Jordan,Inbound,2025-03-30 11:00:00,0,0,0,0,0,0.0,6,0
271,Alex,Retail,2025-01-15 19:00:00,0,0,0,0,0,0.0,5,0
272,Matt,Inbound,2025-02-07 01:00:00,0,0,0,0,0,0.0,6,0
273,Matt,Inbound,2025-02-28 17:00:00,0,0,0,0,0,0.0,17,2
274,Taylor,Referral,2025-02-06 07:00:00,0,0,0,0,0,0.0,13,0
275,Jordan,Retail,2025-01-22 21:00:00,0,0,0,0,0,0.0,2,0
276,Jordan,Referral,2025-03-25 02:00:00,1,0,0,0,0,0.0,14,0
277,Jordan,Inbound,2025-01-07 10:00:00,0,0,0,0,0,0.0,21,1
278,Sam,Retail,2025-01-23 03:00:00,1,1,0,0,0,0.0,11,0
279,Matt,Outbound,2025-03-31 08:00:00,0,0,0,0,0,0.0,9,1
280,Matt,Referral,2025-03-07 16:00:00,0,0,0,0,0,0.0,8,0
281,Alex,Retail,2025-01-08 19:00:00,1,1,1,0,0,0.0,10,1
282,Jordan,Referral,2025-03-09 21:00:00,1,1,1,1,0,0.0,8,0
283,Sam,Inbound,2025-03-29 06:00:00,1,1,1,0,0,0.0,23,0
284,Jordan,Inbound,2025-01-09 19:00:00,0,0,0,0,0,0.0,24,0
285,Jordan,Events,2025-02-07 06:00:00,1,1,0,0,0,0.0,9,1
286,Taylor,Retail,2025-02-12 03:00:00,1,1,1,1,0,0.0,23,1
287,Matt,Outbound,2025-01-12 18:00:00,0,0,0,0,0,0.0,21,2
288,Jordan,Retail,2025-01-19 01:00:00,0,0,0,0,0,0.0,3,2
289,Jordan,Outbound,2025-01-16 15:00:00,1,1,0,0,0,0.0,13,0
290,Jordan,Inbound,2025-01-17 16:00:00,1,1,1,1,1,3675.0,32,1
291,Taylor,Retail,2025-02-06 07:00:00,0,0,0,0,0,0.0,11,2
292,Alex,Retail,2025-02-11 17:00:00,0,0,0,0,0,0.0,12,2
293,Taylor,Retail,2025-01-22 10:00:00,0,0,0,0,0,0.0,13,0
294,Alex,Retail,2025-01-27 01:00:00,1,1,1,0,0,0.0,17,0
295,Jordan,Retail,2025-01-18 07:00:00,1,1,0,0,0,0.0,8,0
296,Jordan,Retail,2025-03-13 15:00:00,1,0,0,0,0,0.0,15,0
297,Taylor,Retail,2025-01-20 01:00:00,0,0,0,0,0,0.0,7,1
298,Jordan,Retail,2025-03-23 16:00:00,1,1,1,1,1,3449.0,21,1
299,Alex,Outbound,2025-02-18 11:00:00,1,1,1,1,0,0.0,3,1
300,Matt,Outbound,2025-03-14 05:00:00,0,0,0,0,0,0.0,3,1
301,Alex,Outbound,2025-02-27 06:00:00,0,0,0,0,0,0.0,2,1
302,Taylor,Retail,2025-01-24 22:00:00,0,0,0,0,0,0.0,10,1
303,Matt,Referral,2025-02-24 02:00:00,1,1,0,0,0,0.0,15,1
304,Taylor,Inbound,2025-01-25 16:00:00,1,0,0,0,0,0.0,24,0
305,Jordan,Retail,2025-01-11 16:00:00,1,1,1,1,1,3633.0,14,1
306,Matt,Retail,2025-01-23 22:00:00,1,1,1,1,0,0.0,6,2
307,Alex,Outbound,2025-01-25 19:00:00,1,1,1,0,0,0.0,10,0
308,Jordan,Retail,2025-01-13 03:00:00,1,1,1,1,1,3184.0,9,0
309,Alex,Inbound,2025-01-03 02:00:00,0,0,0,0,0,0.0,12,2
310,Matt,Events,2025-03-26 22:00:00,0,0,0,0,0,0.0,18,0
311,Sam,Retail,2025-02-16 04:00:00,0,0,0,0,0,0.0,2,0
312,Sam,Retail,2025-02-06 04:00:00,1,0,0,0,0,0.0,19,1
313,Matt,Events,2025-03-25 16:00:00,1,1,1,1,1,3879.0,16,0
314,Alex,Inbound,2025-01-21 05:00:00,1,1,0,0,0,0.0,17,1
315,Alex,Retail,2025-02-06 06:00:00,1,1,1,1,1,4258.0,35,0
316,Sam,Referral,2025-03-18 04:00:00,1,1,1,1,0,0.0,19,2
317,Sam,Referral,2025-02-26 21:00:00,1,1,0,0,0,0.0,17,1
318,Sam,Inbound,2025-02-05 22:00:00,0,0,0,0,0,0.0,17,1
319,Taylor,Inbound,2025-01-24 00:00:00,1,1,0,0,0,0.0,6,1
320,Sam,Retail,2025-01-04 03:00:00,0,0,0,0,0,0.0,5,2
321,Alex,Retail,2025-01-08 15:00:00,1,1,0,0,0,0.0,10,0
322,Matt,Inbound,2025-01-15 13:00:00,1,1,1,1,0,0.0,15,1
323,Sam,Retail,2025-03-12 19:00:00,1,1,1,0,0,0.0,16,1
324,Taylor,Outbound,2025-02-27 12:00:00,1,0,0,0,0,0.0,19,0
325,Taylor,Referral,2025-02-09 00:00:00,1,1,1,1,0,0.0,9,0
326,Alex,Retail,2025-03-12 11:00:00,0,0,0,0,0,0.0,21,1
327,Alex,Inbound,2025-01-15 11:00:00,1,1,1,1,1,3621.0,27,1
328,Matt,Retail,2025-01-19 23:00:00,1,0,0,0,0,0.0,7,0
329,Matt,Referral,2025-02-05 08:00:00,0,0,0,0,0,0.0,18,0
330,Jordan,Retail,2025-03-24 13:00:00,1,1,0,0,0,0.0,4,0
331,Jordan,Inbound,2025-02-25 06:00:00,0,0,0,0,0,0.0,11,1
332,Alex,Inbound,2025-03-18 14:00:00,1,1,0,0,0,0.0,19,1
